gruppo,corda,serie,cerchio,misura,cod_carico,cod_vel,marca,modello,dot,battistrada,lotto,shore,targa,cliente,rete,scaffale,ubicazione,pezzi,stagione
Nuove,215,45,17,2154517,91,W XL,CENTARA,VANTI HP,3516,nil,nil,nil,nil,nil,nil,PIANO TERRA,1BM,3,ESTIVO
Nuove,225,45,17,2254517,94,W XL,CENTARA,VANTI HP,3516,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,ESTIVO
Nuove,205,50,17,2055017,93,W XL,CENTARA,VANTI HP,3516,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,8,ESTIVO
Nuove,225,50,17,2255017,98,W XL,CENTARA,VANTI HP,3516,nil,nil,nil,nil,nil,nil,PIANO TERRA,1BM,7,ESTIVO
Nuove,195,45,16,1954516,84,V XL,RIKEN,MAYSTORM 2B2,2516,nil,nil,nil,nil,nil,nil,PIANO TERRA,1AM,4,ESTIVO
Nuove,185,60,15,1856015,84,H,CENTARA,VANTI TOURING,3516,nil,nil,nil,nil,nil,nil,PIANO TERRA,1BA,8,ESTIVO
Nuove,185,60,15,1856015,84,T,FIRESTONE,MULTIHAWK 2,1716,nil,nil,nil,nil,nil,nil,PIANO TERRA,1BA,2,ESTIVO
Nuove,185,55,15,1855515,82,H,BRIDGESTONE,ECOPIA EP 150,2216,nil,nil,nil,nil,nil,nil,PIANO TERRA,1BA,4,ESTIVO
Nuove,225,50,17,2255017,98,W XL,CENTARA,VANTI HP,3516,nil,nil,nil,nil,nil,nil,PIANO TERRA,1BA,4,ESTIVO
Nuove,215,70,15C,2157015C,109\107,R,OVATION,V-02,416,nil,nil,nil,nil,nil,nil,PIANO TERRA,1CB,2,ESTIVO
Nuove,195,70,15C,1957015C,104/102 R,R,CONTINENTAL,VANCONTACT 100,1515,nil,nil,nil,nil,TECNO ALT,nil,PIANO TERRA,1CB,1,ESTIVO
Nuove,225,65,16C,2256516C,112/110 ,T,WINDEFORCE,MILEMAX,1316,nil,nil,nil,nil,nil,nil,PIANO TERRA,1CB,1,ESTIVO
Nuove,215,60,16C,2156016C,108/106,R,OVATION,V-02,3816,nil,585,nil,nil,nil,nil,PIANO TERRA,1CB,4,ESTIVO
Nuove,215,60,16,2156016,95,H,OVATION,VI-682,1216,nil,504,nil,nil,nil,nil,PRIMO PIANO,2AB,4,ESTIVO
Nuove,185,65,14,1856514,86,T,MATADOR,MP16,1811,nil,nil,nil,nil,nil,nil,PIANO TERRA,1CM,1,ESTIVO
Nuove,185,55,15,1855515,82,V,CENTARA,VANTI TOURING,3516,nil,nil,nil,nil,nil,nil,PIANO TERRA,1CM,0,ESTIVO
Nuove,185,55,15,1855515,82,H,CONTINENTAL,PREMIUM CONTACT 5 ,3316,nil,nil,nil,nil,nil,nil,PIANO TERRA,1BA,1,ESTIVO
